,Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Zip Codes,DELETE - Fire Prevention Districts,DELETE - Supervisor Districts,DELETE - Current Police Districts,DELETE - Supervisorial_Districts_Waterline_data_from_7pkg_wer3,apn,new_units
263040,201807235270,3,additions alterations or repairs,2018-07-23,3144B,025,56,A,Nantucket,Av,,,"add units ord #95-17 (no waivers). add additional unit on ground fl (adu) includes (2)bedroom,(2)bath,(1)kitchen & (1)laundry added. move (e) furnace & hot water heater. not previously used for any residential purpose.",complete,2020-05-26,2018-07-23,2019-08-14,2020-05-26,,,2.0,2.0,,,2020-08-14,50000.0,170894.0,1 family dwelling,1.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,11.0,Outer Mission,94112.0,"(37.72851782413895, -122.44164755786527)",1563856515782,94.0,9.0,1.0,28.0,28861.0,9.0,6.0,4.0,8.0,3144B/025,1.0
217455,201708235678,3,additions alterations or repairs,2017-08-23,4108,005,710,,22nd,St,,,"horizontal addition of a 2-story rear addition, loft-style 4th dwelling unit at rear yard. widening of (e) garage door opening by about 18'. (n) garage door in kind.",issued,2018-07-19,2017-08-23,2018-07-19,,,Y,3.0,3.0,,,2021-07-03,180000.0,240000.0,apartments,3.0,apartments,4.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),Y,10.0,Potrero Hill,94107.0,"(37.75814925624828, -122.3886561017933)",1516240405248,55.0,2.0,9.0,26.0,28856.0,10.0,8.0,3.0,6.0,4108/005,1.0
263114,201611223370,3,additions alterations or repairs,2016-11-22,6470,001B,718,,Morse,St,,,"unit legalization per ord #43-14. wall & ceiling framings, sheetrock/drywalls/bathroom & kitchen's repairs in compliance per cbc code, rehabilation of electrical & plumbing, ceiling insulation. (n) inteiror paintings.",complete,2020-11-20,2016-11-22,2019-08-14,2020-11-20,,,2.0,2.0,,,2020-08-14,36850.0,36850.0,2 family dwelling,2.0,apartments,3.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,11.0,Excelsior,94112.0,"(37.711065657483836, -122.44662953909148)",1563931515787,58.0,9.0,1.0,7.0,28861.0,9.0,6.0,4.0,8.0,6470/001B,1.0
201279,201803052853,3,additions alterations or repairs,2018-03-05,1453,011,355,,21st,Av,,,reference to soft story appln #201612024003. add (n) unit per ord #162-16 on ground floor.,issued,2018-11-08,2018-03-05,2018-11-08,,2019-03-05,,3.0,3.0,,,2021-10-23,150000.0,150000.0,apartments,6.0,apartments,7.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),Y,1.0,Outer Richmond,94121.0,"(37.78116480949981, -122.48084370396057)",1499319242658,8.0,8.0,4.0,29.0,55.0,11.0,2.0,9.0,9.0,1453/011,1.0
201175,201803022769,3,additions alterations or repairs,2018-03-02,5501,063,3329,,Cesar Chavez,St,0.0,,convert portion of (e) 4-car garage into a 2-bedroom/1.5 bath adu. 2-car parking remains. no scope of work @ (e) 4-units to remain per ordinance 162-16.,issued,2019-07-18,2018-03-02,2019-07-18,,,,3.0,3.0,,,2020-07-18,77000.0,100000.0,apartments,4.0,apartments,5.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),Y,9.0,Bernal Heights,94110.0,"(37.74791728353524, -122.41662592953597)",1499210398494,83.0,9.0,2.0,2.0,28859.0,2.0,7.0,4.0,7.0,5501/063,1.0
217456,201708235678,3,additions alterations or repairs,2017-08-23,4108,005,712,,22nd,St,,,"horizontal addition of a 2-story rear addition, loft-style 4th dwelling unit at rear yard. widening of (e) garage door opening by about 18'. (n) garage door in kind.",issued,2018-07-19,2017-08-23,2018-07-19,,,Y,3.0,3.0,,,2021-07-03,180000.0,240000.0,apartments,3.0,apartments,4.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),Y,10.0,Potrero Hill,94107.0,"(37.75814925624828, -122.3886561017933)",1516241170934,55.0,2.0,9.0,26.0,28856.0,10.0,8.0,3.0,6.0,4108/005,1.0
217458,201708235678,3,additions alterations or repairs,2017-08-23,4108,005,714,,22nd,St,,,"horizontal addition of a 2-story rear addition, loft-style 4th dwelling unit at rear yard. widening of (e) garage door opening by about 18'. (n) garage door in kind.",issued,2018-07-19,2017-08-23,2018-07-19,,,Y,3.0,3.0,,,2021-07-03,180000.0,240000.0,apartments,3.0,apartments,4.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),Y,10.0,Potrero Hill,94107.0,"(37.75814925624828, -122.3886561017933)",1516243249715,55.0,2.0,9.0,26.0,28856.0,10.0,8.0,3.0,6.0,4108/005,1.0
201138,201612215558,3,additions alterations or repairs,2016-12-21,1891,010,1553,A,45th,Av,,,site permit to add 1 new accessory dwelling unit to garage space per add unit ordinance 162-16. ** maher: n/a **,issued,2018-03-02,2016-12-21,2018-03-02,,2018-04-06,,2.0,2.0,,,2021-02-14,50000.0,102797.0,1 family dwelling,1.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),Y,4.0,Sunset/Parkside,94122.0,"(37.75755866766766, -122.50498085491728)",1499168510806,39.0,10.0,7.0,35.0,56.0,1.0,3.0,5.0,4.0,1891/010,1.0
217460,201708235678,3,additions alterations or repairs,2017-08-23,4108,005,716,,22nd,St,,,"horizontal addition of a 2-story rear addition, loft-style 4th dwelling unit at rear yard. widening of (e) garage door opening by about 18'. (n) garage door in kind.",issued,2018-07-19,2017-08-23,2018-07-19,,,Y,3.0,3.0,,,2021-07-03,180000.0,240000.0,apartments,3.0,apartments,4.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),Y,10.0,Potrero Hill,94107.0,"(37.75814925624828, -122.3886561017933)",1516245511822,55.0,2.0,9.0,26.0,28856.0,10.0,8.0,3.0,6.0,4108/005,1.0
200978,201803012620,3,additions alterations or repairs,2018-03-01,3730,024,1178,,Folsom,St,,,"revisions to approved addendum (201508265383-s1 & s2), structural, foundation & podium only",issued,2019-01-08,2018-03-01,2019-01-08,,,,,6.0,,,2020-01-03,1.0,1.0,,0.0,apartments,24.0,2.0,,,,1.0,constr type 1,,6.0,South of Market,94103.0,"(37.77566571843438, -122.40980457216689)",1499004165256,32.0,1.0,10.0,34.0,28853.0,8.0,9.0,2.0,3.0,3730/024,24.0
201271,201706028326,3,additions alterations or repairs,2017-06-02,7203,007A,2992,,20th,Av,,,add new unit. convert part of ground floor into 1 bedroom accessory dwelling unit.,issued,2018-07-31,2017-06-02,2018-07-31,,2018-12-28,,2.0,2.0,,,2019-07-26,40000.0,67000.0,1 family dwelling,1.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),Y,7.0,Sunset/Parkside,94132.0,"(37.73298840866073, -122.47576706773161)",1499311510814,62.0,10.0,8.0,35.0,64.0,1.0,4.0,5.0,5.0,7203/007A,1.0
192460,201712116071,3,additions alterations or repairs,2017-12-11,4591C,153,29,,Kirkwood,Av,,,"revision to pa #2015-0114-5720 addendum 4 fire sprinkler, change garage design for ohi to nfpa 13r.",complete,2020-01-07,2017-12-11,2018-01-04,2020-01-07,,,,3.0,,Y,2018-12-30,3500.0,3500.0,,,1 family dwelling,1.0,2.0,,,,5,wood frame (5),,10.0,Bayview Hunters Point,94124.0,"(37.72668037171353, -122.36958056604648)",1490137503615,78.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,4591C/153,1.0
192457,201712116069,3,additions alterations or repairs,2017-12-11,4591C,142,3,,Kirkwood,Av,,,"revision to pa #2015-0114-5722 addendum 4 fire sprinkler, change garage design for ohi to nfpa 13r.",complete,2019-11-06,2017-12-11,2018-01-04,2019-11-06,,,,3.0,,Y,2018-12-30,3500.0,3500.0,,,1 family dwelling,1.0,2.0,,,,5,wood frame (5),,10.0,Bayview Hunters Point,94124.0,"(37.727023827145935, -122.36885070211295)",1490134503633,78.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,4591C/142,1.0
192455,201712116068,3,additions alterations or repairs,2017-12-11,4591C,164,53,,Kirkwood,Av,,,"revision to pa #2014-1211-3582 addendum 4 fire sprinkler, change garage design for ohi to nfpa 13r.",complete,2019-01-18,2017-12-11,2018-01-04,2019-01-18,,,,3.0,,Y,2018-12-30,3500.0,3500.0,,,1 family dwelling,1.0,2.0,,,,5,wood frame (5),,10.0,Bayview Hunters Point,94124.0,"(37.726833035914304, -122.37042490068998)",1490132503634,78.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,4591C/164,1.0
192453,201712116067,3,additions alterations or repairs,2017-12-11,4591C,172,77,,Kirkwood,Av,,,"revision to pa #2014-1211-3580 addendum 4 fire sprinkler, change garage design for ohi to nfpa 13r.",complete,2019-01-23,2017-12-11,2018-01-04,2019-01-23,,,,3.0,,Y,2018-12-30,3500.0,3500.0,,,1 family dwelling,1.0,2.0,,,,5,wood frame (5),,10.0,Bayview Hunters Point,94124.0,"(37.72718058074509, -122.37103655529197)",1490130503651,78.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,4591C/172,1.0
192481,201706220133,3,additions alterations or repairs,2017-06-22,0931,013,2544,,Chestnut,St,,,grd fl: add a (n) residential unit to (e) 2-unit bldg. no added footprint. 1 bedroom  & 1 bath. revise (e) deck. sprinkler deferred.** maher: n/a **,issued,2017-12-11,2017-06-22,2017-12-11,,,,3.0,3.0,,,2018-12-06,90000.0,90000.0,2 family dwelling,2.0,apartments,3.0,2.0,,5.0,wood frame (5),5,wood frame (5),,2.0,Marina,94123.0,"(37.799954760384566, -122.44529907267868)",1490158510348,17.0,4.0,6.0,13.0,57.0,13.0,1.0,6.0,11.0,0931/013,1.0
192541,201712116168,3,additions alterations or repairs,2017-12-11,3626,012,438,,Alvarado,St,,,"convert ground floor storage area into new studio dwelling unit, resulting in a 2-unit building.",complete,2018-07-26,2017-12-11,2018-02-14,2018-07-26,,,3.0,3.0,,,2019-02-09,50000.0,72000.0,1 family dwelling,1.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5,wood frame (5),,8.0,Noe Valley,94114.0,"(37.754146779629345, -122.43080061177656)",1490219162983,52.0,3.0,5.0,22.0,28862.0,2.0,5.0,7.0,1.0,3626/012,1.0
264958,201903185546,3,additions alterations or repairs,2019-03-18,3269,003,73,,Westgate,Dr,,,"comply with complaint# 201884631. adu unit per ordinance# 95-17. legalize (e) kitchen, studio unit. all work @ ground floor of a single family.",reinstated,2019-11-18,2019-03-18,2019-08-28,2019-11-15,,,2.0,2.0,,,2020-02-28,20000.0,20000.0,1 family dwelling,1.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,7.0,West of Twin Peaks,94127.0,"(37.72824429683099, -122.46588519631875)",1565856515840,63.0,10.0,8.0,41.0,59.0,9.0,4.0,5.0,5.0,3269/003,1.0
193203,201612215533,3,additions alterations or repairs,2016-12-21,1646,021,772,,04th,Av,,,"add unit per ordinance no. 162-16. convert a detach garage into a unit. add shower, bathroom & kitchen in the unit, apply insulations. new opening for slinding door. drywall to all ceiling & walls . new light fixtures, flooring & painting. comply w/ nov #201612018",complete,2019-02-27,2016-12-21,2017-12-15,2019-02-27,2018-12-28,,1.0,1.0,,,2018-12-10,10000.0,47500.0,prkng garage/private,0.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5,wood frame (5),Y,1.0,Inner Richmond,94118.0,"(37.774477905555074, -122.46133230257186)",1490909510379,5.0,8.0,4.0,11.0,54.0,11.0,2.0,9.0,9.0,1646/021,1.0
264982,201908290168,3,additions alterations or repairs,2019-08-29,3575,007,636,,South Van Ness,Av,,,"add new kitchen, 1 (n) bedroom and 1 (n) bathroom on 1st flr. add 1 (n) bedroom and 1 (n) bathroom on 3rd flr. infill lightwell.",issued,2019-12-31,2019-08-29,2019-12-31,,,Y,3.0,3.0,,,2020-12-31,96000.0,120000.0,2 family dwelling,2.0,apartments,3.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Mission,94110.0,"(37.762925666056695, -122.41762635897098)",1565880509740,53.0,3.0,2.0,20.0,28859.0,8.0,7.0,7.0,7.0,3575/007,1.0
193177,201712156665,3,additions alterations or repairs,2017-12-15,4023,004A,2750,,19th,St,,,"entire removal of (e) wood frame structure with retention of brick facade, 6 story addition including new subterranean parking, new ground floor commercial & 63 new residential units. (r-2,m,a-2,a-3,s-2)** maher: n/a **",issued,2020-04-15,2017-12-15,2020-04-15,,,Y,2.0,6.0,,,2026-04-15,20000000.0,28000000.0,office,0.0,apartments,63.0,2.0,,5.0,wood frame (5),3,constr type 3,Y,10.0,Mission,94110.0,"(37.76079955541438, -122.40971603366225)",1490881168822,53.0,3.0,9.0,20.0,28859.0,2.0,8.0,7.0,6.0,4023/004A,63.0
193162,201712156650,3,additions alterations or repairs,2017-12-15,1220,009A,1238,,Page,St,,,"legalization of existing 4 floor unit per ordinance 43-14, provide nfpa b-r sprinkler under seperate permit.",issued,2019-01-14,2017-12-15,2019-01-14,,,,4.0,4.0,,,2020-01-09,15000.0,75000.0,apartments,5.0,apartments,6.0,2.0,,5.0,wood frame (5),5,wood frame (5),,5.0,Haight Ashbury,94117.0,"(37.77196162313351, -122.441361869518)",149086792808,112.0,7.0,11.0,3.0,29492.0,15.0,11.0,8.0,10.0,1220/009A,1.0
193117,201602018496,3,additions alterations or repairs,2016-02-01,0212,038,1039,,Washington,St,,,"4th fl residential unit addition to bldg, renovation of 3rd fl unit entry, renovation of basement, repair of (e) egress stair @ rear of property, seismic & foundation upgrade.",denied,2018-08-10,2016-02-01,2017-12-15,,,Y,3.0,4.0,,,2020-11-29,250000.0,377085.0,apartments,3.0,apartments,4.0,2.0,,5.0,wood frame (5),5,wood frame (5),Y,3.0,Nob Hill,94108.0,"(37.79449877287779, -122.4103244961584)",1490819510376,16.0,6.0,3.0,21.0,28857.0,3.0,10.0,1.0,2.0,0212/038,1.0
193116,201602018496,3,additions alterations or repairs,2016-02-01,0212,038,1035,,Washington,St,,,"4th fl residential unit addition to bldg, renovation of 3rd fl unit entry, renovation of basement, repair of (e) egress stair @ rear of property, seismic & foundation upgrade.",denied,2018-08-10,2016-02-01,2017-12-15,,,Y,3.0,4.0,,,2020-11-29,250000.0,377085.0,apartments,3.0,apartments,4.0,2.0,,5.0,wood frame (5),5,wood frame (5),Y,3.0,Nob Hill,94108.0,"(37.79449877287779, -122.4103244961584)",1490818265826,16.0,6.0,3.0,21.0,28857.0,3.0,10.0,1.0,2.0,0212/038,1.0
193097,201712156593,3,additions alterations or repairs,2017-12-15,0251,001,1059,,Leavenworth,St,,,"addition of (2)(n) units on basement & 1st floor per ord #162-16. studio: bathroom, kitchen, office & media room. studio: bathroom, kitchen, office.structural under separate permit. no cfc until all structural work approved and inspected.",issued,2019-11-01,2017-12-15,2019-11-01,,,,4.0,4.0,,,2020-11-01,100000.0,180000.0,apartments,21.0,apartments,23.0,2.0,,5.0,wood frame (5),5,wood frame (5),,3.0,Nob Hill,94109.0,"(37.7909824067472, -122.41592972473308)",1490798233257,16.0,6.0,3.0,21.0,28858.0,13.0,10.0,1.0,2.0,0251/001,2.0
193068,201712156573,3,additions alterations or repairs,2017-12-15,6563,027,4163,,26th,St,,,renovation of (e) dwelling. shift biulding forward on site up to front setback line. horizontal addition @ building rear. proposed vertical addition with front setback to square off roofline. add 1 additional story below grade to create living space for the lower unit & 2 car garage.,issued,2019-05-20,2017-12-15,2019-05-20,,2019-12-17,Y,3.0,3.0,,,2022-05-04,450000.0,890000.0,1 family dwelling,1.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5,wood frame (5),Y,8.0,Noe Valley,94131.0,"(37.74790447367385, -122.43284765189232)",1490766207595,84.0,3.0,5.0,22.0,63.0,2.0,5.0,7.0,1.0,6563/027,1.0
265044,201903044303,3,additions alterations or repairs,2019-03-04,5279,056,1636,,Kirkwood,Av,,,add units per ord# 162-16. proposed one adu @ (e) 1st flr shell space. garage to remain.,issued,2019-08-29,2019-03-04,2019-08-29,,,,2.0,2.0,,,2020-08-29,80000.0,80000.0,1 family dwelling,1.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,10.0,Bayview Hunters Point,94124.0,"(37.73875707927549, -122.39046416478476)",1565945515848,86.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,5279/056,1.0
265051,201811075321,3,additions alterations or repairs,2018-11-07,1288,018,1208,A,Stanyan,St,,,"addition of a dwelling unit within existing envelope of 1 single family house. reconfigure space layout, outside paint and landscaping of back yard",issued,2019-08-29,2018-11-07,2019-08-29,,,,3.0,3.0,,,2021-08-29,200000.0,586463.0,1 family dwelling,1.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,5.0,Haight Ashbury,94117.0,"(37.76190114141551, -122.45174548465872)",1565952515849,114.0,7.0,11.0,3.0,29492.0,15.0,11.0,8.0,10.0,1288/018,1.0
192963,201712146485,3,additions alterations or repairs,2017-12-14,0516,034,2163,,Greenwich,St,,,"working at 2163a greenwich street. add accessory dwelling unit 2163a on 4th fl per ordinace #162-16. fire sprinklers under seperate permit. add fire rated walls, ceiling and doors, new garage door. traveling with application #201712146481 for dwelling unti legalization.",issued,2019-08-08,2017-12-14,2019-08-08,,,,4.0,4.0,,,2020-08-08,98940.0,98940.0,2 family dwelling,2.0,apartments,4.0,2.0,,5.0,wood frame (5),5,wood frame (5),,2.0,Marina,94123.0,"(37.79885875995116, -122.43520072625502)",1490659351108,15.0,4.0,6.0,13.0,57.0,13.0,1.0,6.0,11.0,0516/034,2.0
192955,201712146486,3,additions alterations or repairs,2017-12-14,1370,026,190,,11th,Av,0.0,,"additional dwelling unit per ord 162-16. add (1) bath, (1) kitchen, (2) bedrooms. relocate (e) laundry, add mech closet.",issued,2019-01-09,2017-12-14,2019-01-09,,,,4.0,4.0,,,2021-12-24,125000.0,125000.0,apartments,9.0,apartments,10.0,2.0,,5.0,wood frame (5),5,wood frame (5),,1.0,Inner Richmond,94118.0,"(37.784824371321605, -122.4697478386902)",1490651404042,5.0,8.0,4.0,11.0,54.0,11.0,2.0,9.0,9.0,1370/026,1.0
192950,201712146481,3,additions alterations or repairs,2017-12-14,0516,034,2161,,Greenwich,St,,,working at 2161a greenwich st. dwelling unit legalization for unit 2161a on 1st flr per ordinance 43-14. sprinkler under separate permit. add fire rated walls ceiling and doors. new garage door,issued,2019-08-08,2017-12-14,2019-08-08,,,,4.0,4.0,,,2020-08-08,98940.0,98940.0,2 family dwelling,2.0,apartments,3.0,2.0,,5.0,wood frame (5),5,wood frame (5),,2.0,Marina,94123.0,"(37.79885875995116, -122.43520072625502)",149064572710,15.0,4.0,6.0,13.0,57.0,13.0,1.0,6.0,11.0,0516/034,1.0
192795,201712136357,3,additions alterations or repairs,2017-12-13,0640,017,2011,,Sacramento,St,0.0,,add two new adu's to the rear of the building at ground floor. ordinance 162-16,issued,2019-05-08,2017-12-13,2019-05-08,,2020-02-04,,4.0,4.0,,,2022-04-22,40000.0,117800.0,apartments,6.0,apartments,8.0,2.0,,5.0,wood frame (5),5,wood frame (5),Y,2.0,Pacific Heights,94109.0,"(37.790533687762796, -122.42624870415976)",1490485396541,102.0,4.0,6.0,30.0,28858.0,13.0,1.0,6.0,11.0,0640/017,2.0
192605,201712126220,3,additions alterations or repairs,2017-12-12,1771,006,1339,,16th,Av,,,"adu per ordinace 162-16. one sleeping area, one bath on 1st fl per plan.",issued,2018-12-18,2017-12-12,2018-12-18,,2020-06-13,,3.0,3.0,,,2019-12-13,30000.0,35000.0,apartments,5.0,apartments,6.0,2.0,,5.0,wood frame (5),5,wood frame (5),Y,5.0,Inner Sunset,94122.0,"(37.7629361939132, -122.47418860332627)",1490284244609,109.0,10.0,11.0,14.0,56.0,1.0,11.0,5.0,10.0,1771/006,1.0
265094,201806111458,3,additions alterations or repairs,2018-06-11,2717,006,3356,,Market,St,,,"vertical & horizontal addition. renovation of (e) dwelling units. add (1) story with 15' setback, 15' horizontal addition @ southside yard. add dwelling unit @ (n) 3rd story.",issued,2019-08-29,2018-06-11,2019-08-29,,,Y,2.0,3.0,,,2021-08-29,800000.0,800000.0,apartments,3.0,apartments,4.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),Y,8.0,Castro/Upper Market,94114.0,"(37.75769922808218, -122.44364375903059)",1565999515853,47.0,7.0,5.0,5.0,28862.0,2.0,5.0,8.0,1.0,2717/006,1.0
193069,201712156574,3,additions alterations or repairs,2017-12-15,2406,012,2463,,19th,Av,,,"legalize 1st fl as 2nd unit including 3 beds,3 full baths,kitchen, dining and living.remodel kitchen and bath, add 2 full bath, relocate stairs, remove walls & add flat skylights on 2nd fl. enlarge garage door. replace w/aluminum clad wood windows at front & side,vinyl winddows at rear.",complete,2020-07-10,2017-12-15,2019-03-01,2020-07-10,2019-05-01,,2.0,2.0,,,2022-02-13,120000.0,250000.0,1 family dwelling,1.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5,wood frame (5),Y,4.0,Sunset/Parkside,94116.0,"(37.741872270605576, -122.47594888318001)",1490767134712,40.0,10.0,7.0,35.0,29491.0,1.0,3.0,5.0,4.0,2406/012,1.0
218696,201807305866,3,additions alterations or repairs,2018-07-30,1254,008,737,,Ashbury,St,0.0,,conversion of basement/garage level to create one new 740 sq ft accessory dwelling unit(adu) in a 4 unit bldg. building will become 5 unit under ordiance 162-16,issued,2019-10-21,2018-07-30,2019-10-21,,,,2.0,2.0,,,2020-10-21,65000.0,200000.0,apartments,4.0,apartments,5.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),Y,5.0,Haight Ashbury,94117.0,"(37.768327311586454, -122.44688931968916)",1517532479482,25.0,7.0,11.0,3.0,29492.0,15.0,11.0,8.0,10.0,1254/008,1.0
265095,201806111458,3,additions alterations or repairs,2018-06-11,2717,006,3358,,Market,St,0.0,,"vertical & horizontal addition. renovation of (e) dwelling units. add (1) story with 15' setback, 15' horizontal addition @ southside yard. add dwelling unit @ (n) 3rd story.",issued,2019-08-29,2018-06-11,2019-08-29,,,Y,2.0,3.0,,,2021-08-29,800000.0,800000.0,apartments,3.0,apartments,4.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),Y,8.0,Castro/Upper Market,94114.0,"(37.75769922808218, -122.44364375903059)",1566001401637,47.0,7.0,5.0,5.0,28862.0,2.0,5.0,8.0,1.0,2717/006,1.0
192294,201712085963,3,additions alterations or repairs,2017-12-08,3642,051A,873,,Capp,St,,,add two dwelling unit per ordinance 162-16. (rear building),issued,2019-10-23,2017-12-08,2019-10-23,,2020-06-25,,3.0,3.0,,,2020-10-23,98000.0,98000.0,apartments,4.0,apartments,6.0,2.0,,5.0,wood frame (5),5,wood frame (5),Y,9.0,Mission,94110.0,"(37.75275336478422, -122.4170747696593)",1489968269772,53.0,3.0,2.0,20.0,28859.0,2.0,7.0,7.0,7.0,3642/051A,2.0
192289,201712085962,3,additions alterations or repairs,2017-12-08,3642,051A,871,,Capp,St,,,add two dwelling unit per ordinance 162-16. (front building),issued,2019-10-23,2017-12-08,2019-10-23,,2020-06-25,,3.0,3.0,,,2020-10-23,80000.0,80000.0,apartments,4.0,apartments,6.0,2.0,,5.0,wood frame (5),5,wood frame (5),Y,9.0,Mission,94110.0,"(37.75275336478422, -122.4170747696593)",1489963163712,53.0,3.0,2.0,20.0,28859.0,2.0,7.0,7.0,7.0,3642/051A,2.0
265096,201806111458,3,additions alterations or repairs,2018-06-11,2717,006,3360,,Market,St,0.0,,"vertical & horizontal addition. renovation of (e) dwelling units. add (1) story with 15' setback, 15' horizontal addition @ southside yard. add dwelling unit @ (n) 3rd story.",issued,2019-08-29,2018-06-11,2019-08-29,,,Y,2.0,3.0,,,2021-08-29,800000.0,800000.0,apartments,3.0,apartments,4.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),Y,8.0,Castro/Upper Market,94114.0,"(37.75769922808218, -122.44364375903059)",1566002401638,47.0,7.0,5.0,5.0,28862.0,2.0,5.0,8.0,1.0,2717/006,1.0
192202,201712085884,3,additions alterations or repairs,2017-12-08,2754,052,162,A,Grand View,Av,,,revision to shoring & excavation for vacant lot permit #2016-0429-6192.,reinstated,2018-08-21,2017-12-08,2018-06-28,,,,,3.0,,,2019-06-23,1.0,1.0,vacant lot,,2 family dwelling,2.0,2.0,,,,5,wood frame (5),,8.0,Twin Peaks,94131.0,"(37.75550593500594, -122.44061025460931)",1489863506058,115.0,3.0,5.0,38.0,63.0,2.0,5.0,7.0,1.0,2754/052,2.0
192183,201712085863,3,additions alterations or repairs,2017-12-08,2354,003,2363,,25th,Av,,,new adu per ordinance 95-17. reference permit# 2020-0304-6132 for the horizontal expansion of an (e) single family house.,issued,2020-07-28,2017-12-08,2020-07-28,,,Y,2.0,2.0,,,2021-07-28,50000.0,80000.0,1 family dwelling,1.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5,wood frame (5),,4.0,Sunset/Parkside,94116.0,"(37.743446366561884, -122.48249761802477)",1489839132291,40.0,10.0,7.0,35.0,29491.0,1.0,3.0,5.0,4.0,2354/003,1.0
265097,201806111458,3,additions alterations or repairs,2018-06-11,2717,006,3362,,Market,St,,,"vertical & horizontal addition. renovation of (e) dwelling units. add (1) story with 15' setback, 15' horizontal addition @ southside yard. add dwelling unit @ (n) 3rd story.",issued,2019-08-29,2018-06-11,2019-08-29,,,Y,2.0,3.0,,,2021-08-29,800000.0,800000.0,apartments,3.0,apartments,4.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),Y,8.0,Castro/Upper Market,94114.0,"(37.75769922808218, -122.44364375903059)",1566003515852,47.0,7.0,5.0,5.0,28862.0,2.0,5.0,8.0,1.0,2717/006,1.0
265114,201808167569,3,additions alterations or repairs,2018-08-16,4791,026,1391,A,Shafter,Av,,,to comply ces- 201846840. unit legalization ordinance 43-14. legalize unit from 1 to 2.  cross reference adu 201808167562.,issued,2019-08-29,2018-08-16,2019-08-29,,,,2.0,2.0,,,2020-08-29,25000.0,30000.0,1 family dwelling,1.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,10.0,Bayview Hunters Point,94124.0,"(37.72857685910247, -122.38691722857236)",1566024515854,86.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,4791/026,1.0
193431,201712196870,3,additions alterations or repairs,2017-12-19,0795,027,635,,Fulton,St,,,"new foundation and mep to prepare site for two (e) moved buildings, two (e) moved buildings to comply w/ cbc 503.1.2 as one building.",issued,2018-12-31,2017-12-19,2018-12-31,,2019-12-13,Y,3.0,4.0,,,2024-11-29,3900000.0,3900000.0,2 family dwelling,2.0,apartments,17.0,2.0,,5.0,wood frame (5),5,wood frame (5),Y,5.0,Hayes Valley,94102.0,"(37.77798536804513, -122.42727481072357)",149114881794,22.0,4.0,11.0,9.0,28852.0,7.0,11.0,6.0,10.0,0795/027,15.0
